"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.221362354E1,-1.300433731E1,3.620068741E1,-3.324980927E1
5.223354054E1,-1.353141212E1,3.610662460E1,-3.287854004E1
5.225345754E1,-1.361565971E1,3.599646759E1,-3.293791962E1
5.227337454E1,-1.369410324E1,3.564841461E1,-3.334287262E1
5.229329154E1,-1.372587776E1,3.550331879E1,-3.316175842E1
5.231320854E1,-1.376631165E1,3.504655075E1,-3.320513916E1
5.233312554E1,-1.423728371E1,3.481885147E1,-3.335353088E1
5.235304254E1,-1.445086861E1,3.444175720E1,-3.352304840E1
5.237295954E1,-1.452954865E1,3.411592865E1,-3.388606262E1
5.239287654E1,-1.470597076E1,3.390209579E1,-3.416963959E1
5.241279354E1,-1.471545410E1,3.391097641E1,-3.432543182E1
5.243271154E1,-1.457521248E1,3.400230026E1,-3.432505035E1
5.245262854E1,-1.439438820E1,3.380432510E1,-3.410784149E1
5.247254554E1,-1.401009369E1,3.414136124E1,-3.449864197E1
5.249246254E1,-1.373756218E1,3.402538681E1,-3.511010742E1
5.251237954E1,-1.293322945E1,3.406298828E1,-3.511359406E1
5.253229654E1,-1.274155998E1,3.407084274E1,-3.528266907E1
5.255221354E1,-1.169863701E1,3.410779572E1,-3.533536530E1
5.257213054E1,-1.142444038E1,3.400485992E1,-3.578741455E1
5.259204754E1,-1.049687004E1,3.423064041E1,-3.619162750E1
5.261196454E1,-1.021053886E1,3.403572845E1,-3.625991821E1
5.263188154E1,-1.001902962E1,3.420912933E1,-3.632933044E1
5.265179854E1,-1.002461815E1,3.411003876E1,-3.626815796E1
5.267171554E1,-9.598794937E0,3.431732178E1,-3.647782898E1
5.269163254E1,-9.750272751E0,3.415503693E1,-3.661448669E1
5.271155054E1,-9.381423950E0,3.403065491E1,-3.690241241E1
5.273146754E1,-8.979572296E0,3.410966873E1,-3.691880035E1
5.275138454E1,-8.860012054E0,3.386837769E1,-3.670053864E1
5.277130154E1,-8.733034134E0,3.396551895E1,-3.690337372E1
5.279122267E1,-8.607034683E0,3.445754623E1,-3.643769073E1
5.281113967E1,-9.053009033E0,3.474614716E1,-3.602989197E1
5.283105667E1,-9.321008682E0,3.502917480E1,-3.584468842E1
5.285097367E1,-9.494493484E0,3.562209320E1,-3.563770294E1
5.287089067E1,-9.737312317E0,3.576382828E1,-3.531288147E1
5.289080767E1,-1.010806084E1,3.619949341E1,-3.482018280E1
5.291072467E1,-1.052901459E1,3.615884399E1,-3.424022675E1
5.293064167E1,-1.068687439E1,3.615232849E1,-3.442971039E1
5.295055867E1,-1.124309349E1,3.655533981E1,-3.424884033E1
5.297047567E1,-1.156657791E1,3.639419556E1,-3.439543152E1
5.299039367E1,-1.273274040E1,3.618283463E1,-3.440951538E1
5.301031067E1,-1.285582733E1,3.617504120E1,-3.396490479E1
5.303022767E1,-1.364740372E1,3.611996460E1,-3.382435608E1
5.305014467E1,-1.397677612E1,3.616893005E1,-3.388573456E1
5.307006167E1,-1.401264381E1,3.576415634E1,-3.392238617E1
5.308997867E1,-1.497004509E1,3.558341980E1,-3.392971802E1
5.310989567E1,-1.539883804E1,3.555415726E1,-3.382099915E1
5.312981267E1,-1.564562225E1,3.533298874E1,-3.375199127E1
5.314972967E1,-1.626868057E1,3.527643204E1,-3.400174713E1
5.316964667E1,-1.641269302E1,3.519443512E1,-3.406986237E1
5.318956367E1,-1.653689766E1,3.546877670E1,-3.421941376E1
5.320948067E1,-1.607720757E1,3.507382965E1,-3.444186401E1
5.322939767E1,-1.650000191E1,3.459522629E1,-3.449612427E1
5.324931467E1,-1.640139389E1,3.432336807E1,-3.475662994E1
5.326923267E1,-1.696085930E1,3.448309708E1,-3.464631653E1
5.328914967E1,-1.758095360E1,3.402593994E1,-3.500394440E1
5.330906667E1,-1.774897957E1,3.332281876E1,-3.532620239E1
5.332898367E1,-1.737353325E1,3.335024261E1,-3.554716492E1
5.334890067E1,-1.721216965E1,3.318458557E1,-3.589719391E1
5.336881767E1,-1.777236748E1,3.303683090E1,-3.586809540E1
5.338873467E1,-1.782492256E1,3.322724533E1,-3.641759491E1
5.340865167E1,-1.791570663E1,3.312482834E1,-3.599153900E1
5.342856867E1,-1.800420380E1,3.298440552E1,-3.606082916E1
5.344848567E1,-1.844760704E1,3.312390900E1,-3.608880615E1
5.346840267E1,-1.845416260E1,3.325024796E1,-3.599990845E1
5.348831967E1,-1.845515823E1,3.302156448E1,-3.628878784E1
5.350823667E1,-1.805944443E1,3.303561020E1,-3.643327332E1
5.352815367E1,-1.672723770E1,3.341352463E1,-3.639431763E1
5.354807167E1,-1.647383499E1,3.363167191E1,-3.639260101E1
5.356798867E1,-1.581878662E1,3.362002563E1,-3.644411469E1
5.358790567E1,-1.549067688E1,3.379070282E1,-3.669422150E1
5.360782267E1,-1.490769005E1,3.387318802E1,-3.681383514E1
5.362773967E1,-1.442261505E1,3.383735275E1,-3.667542267E1
5.364765667E1,-1.451802254E1,3.420771790E1,-3.669514465E1
5.366757367E1,-1.359358978E1,3.426561737E1,-3.682293701E1
5.368749067E1,-1.355230331E1,3.412561035E1,-3.712507629E1
5.370740767E1,-1.373067665E1,3.415932465E1,-3.714109802E1
5.372732467E1,-1.346498680E1,3.426955414E1,-3.735052490E1
5.374724167E1,-1.300047493E1,3.431571198E1,-3.759834290E1
5.376715867E1,-1.298995972E1,3.415791321E1,-3.739248657E1
5.378707142E1,-1.288406181E1,3.437470245E1,-3.727219391E1
5.380698842E1,-1.305716515E1,3.459542084E1,-3.741136932E1
5.382690642E1,-1.330945396E1,3.488865662E1,-3.659444427E1
5.384682342E1,-1.344939041E1,3.518186569E1,-3.634135437E1
5.386674042E1,-1.392729568E1,3.555467606E1,-3.588263702E1
5.388665742E1,-1.438301086E1,3.597989273E1,-3.583023834E1
5.390657442E1,-1.476157951E1,3.583937073E1,-3.525478363E1
5.392649142E1,-1.501799774E1,3.591460419E1,-3.458340454E1
5.394640842E1,-1.559362602E1,3.570615768E1,-3.448641205E1
5.396632542E1,-1.604524422E1,3.605308533E1,-3.450600433E1
5.398624242E1,-1.644828796E1,3.585235214E1,-3.440215302E1
5.400615942E1,-1.713065529E1,3.543880081E1,-3.452904510E1
5.402607642E1,-1.704389000E1,3.549868011E1,-3.407448578E1
5.404599342E1,-1.771213531E1,3.519738770E1,-3.411334229E1
5.406591042E1,-1.766165924E1,3.489197540E1,-3.441268158E1
