"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.752672917E0,-8.109929199E2,7.427125244E2,-4.839547729E1
7.772589917E0,-8.100886841E2,7.416197510E2,-4.800427246E1
7.792506917E0,-8.094414062E2,7.406872559E2,-4.786710358E1
7.812423917E0,-8.090665283E2,7.395493164E2,-4.731578827E1
7.832340917E0,-8.079982300E2,7.383704834E2,-4.772444916E1
7.852257917E0,-8.076934204E2,7.382858887E2,-4.748614502E1
7.872174917E0,-8.088261108E2,7.387634277E2,-4.674487305E1
7.892091917E0,-8.096655273E2,7.387318115E2,-4.675674438E1
7.912007917E0,-8.099871826E2,7.382951660E2,-4.597562408E1
7.931924917E0,-8.098709717E2,7.370797119E2,-4.601555634E1
7.951841917E0,-8.103495483E2,7.362465820E2,-4.612070465E1
7.971758917E0,-8.104162598E2,7.362741089E2,-4.623352814E1
7.991675917E0,-8.111133423E2,7.364099121E2,-4.630904388E1
8.011592917E0,-8.112142334E2,7.372355347E2,-4.651313782E1
8.031509917E0,-8.121030273E2,7.372006226E2,-4.562516022E1
8.051426917E0,-8.129234619E2,7.383487549E2,-4.611006165E1
8.071343917E0,-8.136918945E2,7.388742676E2,-4.638911438E1
8.091259917E0,-8.142382202E2,7.390770264E2,-4.623328400E1
8.111176917E0,-8.147672729E2,7.394405518E2,-4.636459351E1
8.131093917E0,-8.147451782E2,7.396099854E2,-4.688042450E1
8.151010917E0,-8.156883545E2,7.397686157E2,-4.698426819E1
8.170927917E0,-8.159556274E2,7.396584473E2,-4.652189636E1
8.190844917E0,-8.162257690E2,7.404968262E2,-4.686376190E1
8.210761917E0,-8.169861450E2,7.407791748E2,-4.655177307E1
8.230678917E0,-8.170388794E2,7.412152100E2,-4.650959015E1
8.250595917E0,-8.175686646E2,7.412896729E2,-4.695672607E1
8.270511917E0,-8.177268066E2,7.416775513E2,-4.653582001E1
8.290428917E0,-8.175170898E2,7.418571777E2,-4.729277802E1
8.310345917E0,-8.174858398E2,7.422600098E2,-4.753748322E1
8.330262917E0,-8.178339844E2,7.426020508E2,-4.745330811E1
8.350179917E0,-8.176575317E2,7.430574951E2,-4.844039917E1
8.370096917E0,-8.183512573E2,7.435075073E2,-4.854511261E1
8.390013917E0,-8.183995972E2,7.442518921E2,-4.859948730E1
8.409930917E0,-8.187833862E2,7.446437378E2,-4.873309326E1
8.429847917E0,-8.187920532E2,7.449591675E2,-4.892872620E1
8.449764917E0,-8.190103760E2,7.452445679E2,-4.907905579E1
8.469680917E0,-8.194293823E2,7.455573730E2,-4.877303314E1
8.489597917E0,-8.192368164E2,7.459078979E2,-4.878671265E1
8.509514917E0,-8.185942383E2,7.457980957E2,-4.924509430E1
8.529431917E0,-8.180949707E2,7.459129639E2,-4.921553802E1
8.549348917E0,-8.180747070E2,7.458231812E2,-4.962863922E1
8.569265917E0,-8.179033203E2,7.454743652E2,-4.980397034E1
8.589182917E0,-8.173320923E2,7.459127197E2,-5.008757019E1
8.609099917E0,-8.167232056E2,7.454575195E2,-5.068820190E1
8.629016917E0,-8.160695190E2,7.453278809E2,-5.103170776E1
8.648933917E0,-8.161568604E2,7.458131714E2,-5.109693909E1
8.668849917E0,-8.160847778E2,7.452890625E2,-5.123294067E1
8.688766917E0,-8.157472534E2,7.451237183E2,-5.084001923E1
8.708683917E0,-8.158443604E2,7.452937012E2,-5.046911621E1
8.728600917E0,-8.157137451E2,7.451145630E2,-5.018611908E1
8.748517042E0,-8.161021118E2,7.449008179E2,-5.041512299E1
8.768434042E0,-8.161203613E2,7.450862427E2,-5.061622620E1
8.788351042E0,-8.160401611E2,7.451316528E2,-5.095129395E1
8.808268042E0,-8.158598633E2,7.456213989E2,-5.070681763E1
8.828185042E0,-8.167285156E2,7.460685425E2,-5.073192596E1
8.848101042E0,-8.168300781E2,7.466763916E2,-5.070778656E1
8.868018042E0,-8.178851318E2,7.478788452E2,-5.099423218E1
8.887935042E0,-8.188962402E2,7.487925415E2,-4.989315033E1
8.907852042E0,-8.196946411E2,7.489693604E2,-4.983220673E1
8.927769042E0,-8.205018311E2,7.494322510E2,-4.944473267E1
8.947686042E0,-8.204614258E2,7.494927368E2,-4.921763611E1
8.967603042E0,-8.213184814E2,7.498805542E2,-4.801277161E1
8.987520042E0,-8.219204102E2,7.504406128E2,-4.749875641E1
9.007437042E0,-8.225244141E2,7.507462769E2,-4.740062714E1
9.027353042E0,-8.227185059E2,7.507233887E2,-4.680211639E1
9.047270042E0,-8.226593018E2,7.505454102E2,-4.636338043E1
9.067187042E0,-8.235046997E2,7.510424805E2,-4.639695740E1
9.087104042E0,-8.241746216E2,7.521004028E2,-4.628089905E1
9.107021042E0,-8.251754150E2,7.527931519E2,-4.621347809E1
9.126938042E0,-8.257709961E2,7.538709717E2,-4.637705994E1
9.146855042E0,-8.257208252E2,7.542950439E2,-4.643635559E1
9.166772042E0,-8.263497925E2,7.548953857E2,-4.665908051E1
9.186689042E0,-8.266619873E2,7.548310547E2,-4.646414185E1
9.206605042E0,-8.262712402E2,7.547933350E2,-4.698831177E1
9.226522042E0,-8.268458252E2,7.548492432E2,-4.665788269E1
9.246439042E0,-8.269761353E2,7.551947632E2,-4.629847717E1
